"Titre","Chaîne / Troupe","Type","Nature","Catégorie","Thème","Durée","Notes","URL vidéo","Langue","Statut","Créé le","Approuvé le"
"Contre Kem's au Festival les 72h d'improvisation de Paris 2017","Canal Impro","spectacle","na","libre","Carte Blanche","27:56","La Compagnie d’Improvisation EUX a réuni pour vous quelques uns des plus grands improvisateurs de la place parisienne. Ils travaillent depuis plusieurs mois déjà dans les labos
de recherche secrets de la Compagnie pour vous proposer des spectacles totalement inédits ! En d’autres termes, du jamais vu. Chaque spectacle, par sa spécificité, permet d’explorer
différentes facettes de l’improvisation. Des spectacles sur la vie, la mort, le hasard... Des histoires courtes ou longues, loufoques ou poétiques, mais toujours pleines de surprises...
Plongez avec nous dans l’univers magique de la création théâtrale improvisée, en venant découvrir le futur spectacle d’improvisation à succès !","https://youtu.be/uSPAEhu3U14","fr","approved","2026-05-26T09:58:36.891377+00:00","2026-05-26T09:59:13.926834+00:00"
"New York","IMPRO! Le Spectacle","format_court",,"a_la_maniere_de","New York","6:47","New York à la manière du Théâtre de l'Absurde","https://youtu.be/a8jMQzRhVRk","fr","approved","2026-05-25T11:33:24.185158+00:00","2026-05-25T11:34:38.307177+00:00"
"New York : réalité et illusion","LNI","match_impro","comparee","libre","New York : réalité et illusion","9:13","Une des improvisations les plus célèbres puisqu'il s'agit d'une impro 1/équipe, comparée de 9 minutes et la performance de Robert Lepage mérite le passage à la postérité offert par Robert Gravel et Jean-Marc Lavergne.","https://youtu.be/bHQsKGVL7Ys","fr","approved","2026-05-25T10:53:25.395996+00:00","2026-05-25T10:53:25.395996+00:00"
"Contre Kem's au Festival les 72h d'improvisation de Paris 2018","Canal Impro","spectacle","na","libre","Carte Blanche","50:25","Grâce à la Compagnie Les Eux, le mythique jeu de cartes des soirées entre copains le Kem’s - Contre Kem’s, est devenu un spectacle. Venez voir Tim et Nabla rivaliser de ruse dans cet opus particulièrement joueur et taquin.","https://youtu.be/91vlW6cntbk","fr","approved","2026-05-20T21:13:53.285542+00:00","2026-05-20T21:14:26.301388+00:00"
"Carte Blanche des Eux au Festival les 72h d'improvisation de Paris 2018","Canal Impro","spectacle","na","libre","Carte Blanche","44:00","Les Eux préparent une surprise dont ils ont le secret. Et on peut leur faire confiance. Spectacle joué lors de la 5e édition du Festival des 78h d'Impro de Paris qui a eu lieu sur trois jours les 22-23-24 juin 2018 !","https://youtu.be/HoO3O2xbhxw","fr","approved","2026-05-20T13:52:50.982944+00:00","2026-05-20T13:54:13.12318+00:00"
"Le Dîner au Festival d'impro de Paris","LULU LIGHTNING ARTIST","match_impro","na","libre","Le Dîner au Fesival","50:38","Annonces et choix du public","https://youtu.be/jVXsHkpeofY","fr","approved","2026-05-20T13:39:55.549648+00:00","2026-05-20T13:48:07.413514+00:00"
"Impro.Comedy (chaîne)","Impro.Comedy","chaine",,,,,"Point de départ — sketchs et formats courts d'impro","https://www.youtube.com/@Impro.Comedy","fr","approved","2026-05-20T12:26:16.867802+00:00",
"LiFi – L'improvisation théâtrale (chaîne)","LiFi","chaine",,,,,"Ligue Française d'Improvisation, +30 ans, matchs pro","https://www.youtube.com/@lifilimprovisationtheatrale","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Les Improtagonistes (chaîne)","Les Improtagonistes","chaine",,,,,"Troupe issue de la LiFi — matchs + longue forme","https://www.youtube.com/c/LesImprotagonistes","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Improvidence – Théâtre d'impro (chaîne)","Improvidence","chaine",,,,,"1er théâtre français 100% impro (Lyon + Bordeaux)","https://www.youtube.com/channel/UC1DygC-ZlJltS6kE_N11V5Q","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Théâtre Improvisation (chaîne)","Théâtre Improvisation","chaine",,,,,"Chaîne dédiée aux spectacles et reportages impro","https://www.youtube.com/channel/UCkswVEUhvKhuCHIQBflPstg","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Match impro Festival Théa' Fleurance","Festival Théa' Fleurance","match_impro","mixte","libre","Dans le feu de l'action",,"Festival 2020 — Tarbes / Mirande / Condom","https://www.youtube.com/watch?v=jU8R9caLhlE","fr","approved","2026-05-20T12:26:16.867802+00:00",
"La Ligue d'Impro : Frapper sans entrer","La Ligue d'Impro","match_impro",,,"Frapper sans entrer",,,"https://www.youtube.com/watch?v=5CIVmU60-QY","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Les catégories partie II – L'IMPRO DE 1 à Z","Improtéine","tutoriel",,,"Catégories d'impro",,"Pédagogique : décrypte les catégories en match","https://www.youtube.com/watch?v=FjLQl1QKcss","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Match d'impro international : Belgique vs Québec","1'Assaut D'1mpro","match_impro",,,"International",,"Mondial d'Impro 2007 — confrontation internationale","https://www.youtube.com/watch?v=ZemkX11JI98","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Improvisades — match d'improvisation théâtrale","Improvisades","match_impro",,,,,,"https://www.youtube.com/watch?v=jsvNeqHs-xc","fr","approved","2026-05-20T12:26:16.867802+00:00",
"La zone libre des songes — HeroCorp vs Lily","HeroCorp / Lily","match_impro",,"a_la_maniere_de","La zone libre des songes","7 min","Transbordeur, 24/03/2013, contrainte SF","https://www.youtube.com/watch?v=oDSH_p6mMfs","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Improvisation comparée ""coup de mou"" — catégorie chantée",,"match_impro","comparee","chantee","Coup de mou",,"Bonne illustration de la catégorie chantée","https://www.youtube.com/watch?v=1hWMAPQUuzE","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Les ""Restons Calmes !"" — match d'impro","Restons Calmes","match_impro",,,,,,"https://www.youtube.com/watch?v=BETbEwCI0nU","fr","approved","2026-05-20T12:26:16.867802+00:00",
"MATCH D'IMPROVISATION : Équipe de France – Lyon","Théâtre Improvisation","match_impro",,,"France vs Lyon",,,"https://www.youtube.com/watch?v=HsccV-ImjX0","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Festival Improneuf — 1/4 finale : Paris vs Tortues d'Janine","Ligue Improvisation Paris / Tortues d'Janine","match_impro",,,"Festival Improneuf",,,"https://www.youtube.com/watch?v=ugf22AuQ9XU","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Le match d'impro : une invention québécoise","maprofdefrançais","documentaire",,,"Histoire / origine du match",,"Contexte historique","https://www.youtube.com/watch?v=YQ_ChfOfpwY","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Le match d'impro théâtre","YEP'S","tutoriel",,,"Présentation du format",,"Bonne introduction pour débutants","https://www.youtube.com/watch?v=D73wDVMa10k","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Ligue Impro L'Engrenage — Saison 1 Match 11","L'Engrenage","match_impro",,,,,,"https://www.youtube.com/watch?v=_peLWjiGxOQ","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Upright Citizens Brigade — ASSSSCAT Improv","Upright Citizens Brigade","spectacle",,,"Harold / longue forme",,"Le show longue forme historique de l'UCB (New York) — référence absolue du Harold","https://www.youtube.com/watch?v=P4HTxmqNTCY","en","approved","2026-05-20T12:26:16.867802+00:00",
"The Improvised Shakespeare Company — Wednesday at the Waffle House","The 92nd Street Y","spectacle",,"a_la_maniere_de","Shakespeare improvisé",,"Une pièce entière improvisée à la manière de Shakespeare à partir d'un titre du public","https://www.youtube.com/watch?v=Ljh_LeMucJI","en","approved","2026-05-20T12:26:16.867802+00:00",
"Improvised Shakespeare Company Stand Up — 2009","Just For Laughs","spectacle",,"a_la_maniere_de","Shakespeare improvisé",,"Captation Just For Laughs (Montréal) — extrait représentatif de la troupe","https://www.youtube.com/watch?v=rX77W-0iQmY","en","approved","2026-05-20T12:26:16.867802+00:00",
"Del Close 1986","city worker","documentaire",,,"Naissance du Harold",,"Profil 1986 de Del Close (créateur du Harold) — archive historique","https://www.youtube.com/watch?v=dQzzLmR93o8","en","approved","2026-05-20T12:26:16.867802+00:00",
"""Toujours prêt"" — ORANGES | SCC2019 Demi-finales","Théâtre de la LNI","match_impro","mixte",,"Toujours prêt",,"Coupe Charade 2019 — demi-finale de la Ligue Nationale d'Improvisation (Québec)","https://www.youtube.com/watch?v=11qnwm2pNZU","fr","approved","2026-05-20T12:26:16.867802+00:00",
"TV5 — Ligue Nationale d'Improvisation (LNI) Équipe Québec","FabTeeVee","match_impro",,,,,"Captation TV5 — match de la LNI, format québécois classique","https://www.youtube.com/watch?v=YQcSSr47oKE","fr","approved","2026-05-20T12:26:16.867802+00:00",
"La LNI a 35 ans","Théâtre de la LNI","documentaire",,,"Histoire de la LNI",,"Rétrospective des 35 ans de la Ligue Nationale d'Improvisation","https://www.youtube.com/watch?v=5PnM3FB2JwQ","fr","approved","2026-05-20T12:26:16.867802+00:00",
